id,lat,lon
1,38.8351853,-77.31204093
2,38.83518008,-77.3115997
3,38.83496384,-77.31170431
4,38.83499518,-77.31215626
5,38.834991,-77.31158093
6,38.83470998,-77.31180087
7,38.83464104,-77.31184512
8,38.83460865,-77.31178209
9,38.83447076,-77.31152862
10,38.83451777,-77.31148303
11,38.83444673,-77.31155008
12,38.83435375,-77.31138244
13,38.83444046,-77.31122017
14,38.83424406,-77.31144011
15,38.83411766,-77.3114495
16,38.83423988,-77.31120408
17,38.83455746,-77.31119871
18,38.83455642,-77.31130466
19,38.83454493,-77.31100827
20,38.83425033,-77.31102303
21,38.83449165,-77.31068775
22,38.83451254,-77.31063008
23,38.83450627,-77.310559
24,38.83448538,-77.31040075
25,38.83411348,-77.31101766
26,38.83411766,-77.31120676
27,38.83411348,-77.31163859
28,38.8340205,-77.3115541
29,38.83412288,-77.3115474
30,38.83402573,-77.31121212
31,38.83410825,-77.31086478
32,38.83423362,-77.31085673
33,38.8341093,-77.31073871
34,38.83422003,-77.31073871
35,38.83419496,-77.31066093
36,38.83415109,-77.31063277
37,38.83414168,-77.31056437
38,38.83417825,-77.31051341
39,38.83429212,-77.31049329
40,38.83442897,-77.31044367
41,38.83443001,-77.31061265
42,38.83432137,-77.31062204
43,38.83404662,-77.3110874
44,38.83410721,-77.31066093
45,38.83411139,-77.31050938
46,38.83397245,-77.31080443
47,38.83393902,-77.31073737
48,38.83381575,-77.3112148
49,38.83376769,-77.31122687
50,38.83363188,-77.31141195
51,38.83346055,-77.31122285
52,38.83359636,-77.31145084
53,38.83381575,-77.31142133
54,38.83382619,-77.31153131
55,38.83378023,-77.31157288
56,38.83378441,-77.3116976
57,38.83387843,-77.31162116
58,38.83388574,-77.31189072
59,38.83399856,-77.31180355
60,38.83400797,-77.31179684
61,38.83337489,-77.31107533
62,38.83386693,-77.31094792
63,38.83511009,-77.31130064
64,38.835108,-77.31093451
65,38.83515397,-77.3105523
66,38.83519575,-77.31016338
67,38.835225,-77.30977446
68,38.83524694,-77.30954379
69,38.83533051,-77.30940163
70,38.83510382,-77.3095277
71,38.83492727,-77.31121615
72,38.83495235,-77.31044903
73,38.8350098,-77.31031761
74,38.83502338,-77.31019959
75,38.83507353,-77.30983481
76,38.83475699,-77.31035382
77,38.83489176,-77.31021971
78,38.83470058,-77.31019557
79,38.83447284,-77.31024519
80,38.83429421,-77.31031492
81,38.83400065,-77.31058449
82,38.833845,-77.310673
83,38.83367367,-77.31074944
84,38.83352219,-77.31075346
85,38.83342086,-77.31078163
86,38.83334773,-77.31091842
87,38.83329549,-77.31104314
88,38.834079,-77.31034711
89,38.83392126,-77.31046245
90,38.83380008,-77.31054828
91,38.83360368,-77.31060192
92,38.83345011,-77.31060058
93,38.83331116,-77.31054828
94,38.83325266,-77.31037393
95,38.83328505,-77.31017143
96,38.83335713,-77.30994478
97,38.83337489,-77.31074139
98,38.83331952,-77.31069982
99,38.83322237,-77.31065288
100,38.83313879,-77.31072262
101,38.83307924,-77.31083661
102,38.83299671,-77.3109667
103,38.8329215,-77.31104985
104,38.83330699,-77.31087282
105,38.8332443,-77.31098816
106,38.83322655,-77.31109411
107,38.83320043,-77.31114373
108,38.83317431,-77.31110081
109,38.83308029,-77.31120408
110,38.83300821,-77.31127918
111,38.83302074,-77.31134087
112,38.83297686,-77.31131673
113,38.83296119,-77.31119469
114,38.83300612,-77.31111959
115,38.83332683,-77.31113032
116,38.83316595,-77.31062472
117,38.83306775,-77.31057644
118,38.83305313,-77.3104611
119,38.83300298,-77.31045038
120,38.83299776,-77.31032565
121,38.83305731,-77.31030017
122,38.83319834,-77.31038198
123,38.83296537,-77.31018886
124,38.83294343,-77.31030151
125,38.8328609,-77.31020764
126,38.83276166,-77.31017679
127,38.83261749,-77.31015936
128,38.83251929,-77.31007218
129,38.83237408,-77.31009364
130,38.8331576,-77.31011778
131,38.83320461,-77.31002524
132,38.83307507,-77.30996087
133,38.83304059,-77.3100628
134,38.83271151,-77.31038466
135,38.83296328,-77.3108004
136,38.83278569,-77.3110123
137,38.83272196,-77.31081516
138,38.83270629,-77.31049329
139,38.83245974,-77.31054157
140,38.83268957,-77.31064484
141,38.83246705,-77.31062204
142,38.83242945,-77.31061265
143,38.83238348,-77.31053621
144,38.83230199,-77.31049597
145,38.83230513,-77.31054559
146,38.83229572,-77.31043026
147,38.83226647,-77.31047451
148,38.83226438,-77.31054023
149,38.83221842,-77.31052145
150,38.83221424,-77.31056571
151,38.83196246,-77.31059521
152,38.83192276,-77.31068909
153,38.83188516,-77.31085673
154,38.8317577,-77.3109144
155,38.83159577,-77.31066763
156,38.83184232,-77.31061801
157,38.83201992,-77.31041014
158,38.83204708,-77.31034175
159,38.83211186,-77.31027335
160,38.83214529,-77.31017143
161,38.83209096,-77.31007755
162,38.83213693,-77.30996087
163,38.8320241,-77.31010303
164,38.83174516,-77.31024787
165,38.83179636,-77.30994076
166,38.83169815,-77.31025726
167,38.83172323,-77.31014863
168,38.8316386,-77.31028005
169,38.83144115,-77.31038868
170,38.83153936,-77.310559
171,38.83185172,-77.31060997
172,38.83177024,-77.31057912
173,38.83172845,-77.31053889
174,38.83170651,-77.31059656
175,38.83174203,-77.3104544
176,38.83153413,-77.31011912
177,38.83154563,-77.31030017
178,38.8313137,-77.31011242
179,38.83135444,-77.30998233
180,38.8314422,-77.30993539
181,38.83165532,-77.30983749
182,38.83153309,-77.30974093
183,38.8315801,-77.30960146
184,38.83123952,-77.31055364
185,38.83107864,-77.31030822
186,38.83108386,-77.31010705
187,38.83098879,-77.31015936
188,38.831087,-77.30966583
189,38.83116326,-77.30971679
190,38.83112565,-77.30959877
191,38.83124997,-77.30956927
192,38.83113714,-77.30953038
193,38.83105983,-77.30948746
194,38.83082059,-77.30963901
195,38.83084149,-77.30955854
196,38.83093133,-77.30939895
197,38.83119251,-77.3095116
198,38.83096999,-77.3093453
199,38.83062314,-77.30919778
200,38.83065657,-77.30914012
201,38.83104312,-77.30915755
202,38.83130848,-77.30999842
203,38.83091253,-77.3100467
204,38.83090521,-77.31019959
205,38.83068269,-77.31030688
